Italian|English
Ciao|Hello/Goodbye
Amore|Love
Gatto|Cat
Cane|Dog
Casa|House
Sole|Sun
Luna|Moon
Libro|Book
Tavolo|Table
Sedia|Chair
Acqua|Water
Pane|Bread
Formaggio|Cheese
Vino|Wine
Pizza|Pizza
Pasta|Pasta
Gelato|Ice cream
Dolce|Sweet
Amico|Friend
Famiglia|Family
Letto|Bed
Finestra|Window
Porta|Door
Cielo|Sky
Terra|Earth
Fuoco|Fire
Stella|Star
Fiore|Flower
Albero|Tree
Montagna|Mountain
Mare|Sea
Spiaggia|Beach
Strada|Street
Macchina|Car
Treno|Train
Aereo|Airplane
Bicicletta|Bicycle
Telefono|Phone
Computer|Computer
Musica|Music
Danza|Dance
Canzone|Song
Voce|Voice
Mano|Hand
Piede|Foot
Occhio|Eye
Naso|Nose
Bocca|Mouth
Orecchio|Ear
Testa|Head
Cuore|Heart
